Age,Weight_kg,target_derm,age_squared,weight_zscore_by_breed,age_weight_interaction,breed_is_other,is_vaccinated,has_parasite_history,has_chronic_illness,has_allergies,has_skin_history,has_heart_history,has_dental_issues,has_kidney_history,has_surgery_history,no_previous_conditions,chronic_conditions_count,has_fever,has_diarrhea,has_weight_loss,has_pain,has_coughing,has_lethargy,has_weakness,has_vomiting,has_anorexia,has_sneezing,has_pains,has_loss_of_appetite,has_death,has_depression,has_lameness,has_nasal_discharge,has_uteria_inertia,has_fetopelvic_dispropotion,has_malpresentation,has_swelling,has_blindness,has_dehydration,has_dyspnea,has_difficulty_in_breathing,has_dullness,has_poor_appetite,has_skin_rashes,has_difficulty_breathing,has_emaciation,has_ruffled_feathers,gi_symptoms_count,respiratory_symptoms_count,systemic_symptoms_count,neurological_symptoms_count,dermatological_symptoms_count,total_symptoms_count,fever_and_diarrhea,fever_and_vomiting,weightloss_and_anorexia,pain_and_vomiting,coughing_and_sneezing,weakness_and_weightloss,breed_grouped_beagle,breed_grouped_boxer,breed_grouped_bulldog,breed_grouped_german shepherd,breed_grouped_golden retriever,breed_grouped_labrador retriever,breed_grouped_mixed breed,breed_grouped_poodle,breed_grouped_rottweiler,breed_grouped_yorkshire terrier,age_bucket_puppy,age_bucket_adult,age_bucket_senior,ruta_imagen
12.0,21.8,0,144.0,-0.0539937082094187,261.6,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,train\Healthy\dogs_221_jpg.rf.41f81e225c697dcc627579879cb30fe2.jpg
9.0,16.6,1,81.0,-1.214640215273223,149.4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,train\Dermatitis\53_jpg.rf.a630c86b1a74e90215ff5cdf26d27464.jpg
14.7,24.6,0,216.09,0.3571107100926951,361.62,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,5,0,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,train\Healthy\047_jpg.rf.3622dd44ec2437ad7ebb655bcb8dadc2.jpg
1.0,17.8,0,1.0,-0.9526943555256006,17.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,train\Healthy\dogs_003_jpg.rf.4fbdd0fe529e5bc4d5066cce50696ec7.jpg
1.3,32.0,0,1.6900000000000002,-0.3735162952883921,41.6,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0,0,1,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,train\Healthy\dogs_083_jpg.rf.e63b3fca51422003767c6ccbefbb7ec4.jpg
1.6,12.7,0,2.5600000000000005,-0.8499386155973512,20.32,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,train\Healthy\dogs_094_jpg.rf.8279ae5620fb8080deb66777390a5f09.jpg
8.2,35.8,0,67.24,0.1701939273985186,293.55999999999995,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,5,0,0,1,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,train\Healthy\HEALTHY_011_jpg.rf.d046d1850b7b73ce886f2cb971bb8290.jpg
3.9,5.9,0,15.21,-0.0939768596300916,23.01,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,True,False,train\Healthy\HEALTHY_039_jpg.rf.4229ec7f88d6be14f7a89d5b355de7b7.jpg
7.5,21.1,0,56.25,-0.2028138664616295,158.25,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,1,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,train\Healthy\039_jpg.rf.10683c065c6458043aa8ee72929a18a7.jpg
7.6,30.7,0,57.76,-0.7015344196402639,233.32,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,5,0,0,1,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,train\Healthy\HEALTHY_026_jpg.rf.bd1537b78565c3f814e68399e94fa797.jpg
8.1,43.8,0,65.61,1.453018578995964,354.78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,5,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,train\Healthy\dogs_067_jpg.rf.9efe757738587d5fbcb79ed70bda06e0.jpg
0.5,26.9,0,0.25,1.033728414227204,13.45,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,5,0,0,0,0,1,0,False,True,False,False,False,False,False,False,False,False,True,False,False,train\Healthy\images-29_jpg.rf.ffae223582200700088276853688f53c.jpg
1.2,35.2,1,1.44,-0.0100264996414592,42.24,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,train\ringworm\ringworm-132-_jpg.rf.b145c923c71702516b2a127e5e2d5013.jpg
10.1,21.4,0,102.01,-0.139033798639254,216.14,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,5,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,train\Healthy\dogs_179_jpg.rf.6b0e0fce20042f31eca5168d9adb42cb.jpg
3.4,29.7,0,11.56,0.8810722887773583,100.98,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,5,0,1,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,train\Healthy\dogs_084_jpg.rf.2fcc85bf9d54b7eeca5190b0e904037f.jpg
14.7,4.9,0,216.09,-0.6087244827295891,72.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,5,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,train\Healthy\dogs_276_jpg.rf.2839f26399b254006848783f420a0f66.jpg
11.7,26.1,0,136.89,-1.29012725672344,305.37,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,5,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,train\Healthy\HEALTHY_035_jpg.rf.ced0ffc2631afec899850d02326f6f13.jpg
2.7,45.0,0,7.290000000000001,1.7427234946057353,121.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,train\Healthy\dogs_120_jpg.rf.4d18bf83113ad6476e240a10d4af122b.jpg
13.8,5.0,0,190.44000000000003,-1.633984731108249,69.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,5,0,1,0,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,True,train\Healthy\Image_2_jpg.rf.1550249cb42dafbc8fd37595fa97c790.jpg
11.1,25.0,0,123.21,0.6263270152292598,277.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,5,0,0,0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,train\Healthy\pic1_jpg.rf.38aec403ca783e402e0d75b8632c9b60.jpg
8.0,10.1,1,64.0,1.99839774846751,80.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,5,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,True,train\Dermatitis\1000010558_x4_jpg.rf.8306b2f553525d474b0ecfd573763f44.jpg
9.8,26.4,0,96.04000000000002,0.7344375812688463,258.72,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,train\Healthy\images_jpg.rf.a62401bd8ebad0279a0491db1fe5b3cb.jpg
8.4,24.5,0,70.56,0.5200269021919663,205.8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,5,0,0,1,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,train\Healthy\Image_28_jpg.rf.3f2167d0603c7d0a6d04ec2f2533f0ce.jpg
8.6,15.0,0,73.96,-1.5639013616033868,129.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,5,0,0,0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,train\Healthy\dogs_037_jpg.rf.d1bad189695128b6d41621cbe6cd878b.jpg
6.4,33.2,0,40.96000000000001,-0.3703370749923397,212.48,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,train\Healthy\HK0P2T-1-920x518_jpg.rf.86436bea5e5f5ac61aa3b7da94c45093.jpg
5.6,15.0,0,31.36,-1.6552992695134476,84.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,5,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,train\Healthy\dogs_221_jpg.rf.41f81e225c697dcc627579879cb30fe2.jpg
7.9,40.0,1,62.41,1.9298612484867408,316.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,5,0,0,1,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,train\demodicosis\2024-05-13-164158_jpg.rf.199832d6cb4bace81c8e03c5206d9c2a.jpg
3.5,29.3,0,12.25,1.3423530959415355,102.55,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,train\Healthy\dogs_120_jpg.rf.4d18bf83113ad6476e240a10d4af122b.jpg
9.0,19.4,0,81.0,-0.6034332091954375,174.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,5,0,0,0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,train\Healthy\dogs_032_jpg.rf.81caf68ea4ab4a1ce45933d4c18166d1.jpg
12.9,23.0,1,166.41,0.2011265630800856,296.7,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,5,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,train\Fungal_infections\pic71_jpg.rf.b01122b17e6f3558483029dfb3d5c241.jpg
6.7,7.8,0,44.89,-1.3488770527406495,52.26,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,train\Healthy\Untitled-design-2020-06-15T212709-126-1_png_jpg.rf.b568128e26b65b966cbd64df3020583c.jpg
11.2,32.9,0,125.43999999999998,-0.4243836612949725,368.48,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,5,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,train\Healthy\Image_11_jpg.rf.5d7f760bdf0387e03a6f91c0ab6c948b.jpg
14.6,22.8,0,213.16,0.1387467267561604,332.88,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,train\Healthy\dogs_143_jpg.rf.907b31e3e00ca57fcf04d4630b0f3f58.jpg
6.2,8.0,0,38.440000000000005,0.9869931488788528,49.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,True,False,train\Healthy\dogs_005_jpg.rf.e021fc8d7315f37e34f785d45f0853cb.jpg
10.0,25.0,0,100.0,-1.461020825804551,250.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,5,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,train\Healthy\dogs_003_jpg.rf.4fbdd0fe529e5bc4d5066cce50696ec7.jpg
13.6,3.1,1,184.96,-1.5352702043086843,42.16,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,5,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,train\demodicosis\IMG_5278_jpeg_jpg.rf.20f6792d9362d9405ed39376a36fc163.jpg
10.5,6.5,0,110.25,0.2148717142296066,68.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,train\Healthy\dogs_004_jpg.rf.984d6a3108672f4689f1bcbf2a43b709.jpg
5.4,27.8,0,29.160000000000004,-1.0260190135980871,150.12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,train\Healthy\dogs_150_jpg.rf.8410736a47d707682ba9f9846271b0d1.jpg
11.8,25.9,0,139.24,0.8176672186963879,305.62,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,5,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,train\Healthy\Image_9_jpg.rf.1f1a0648c08adc76c6e0e6838cf55535.jpg
7.3,3.7,0,53.29,-1.2904771321174169,27.01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,True,train\Healthy\dogs_147_jpg.rf.40a172062113218047a8d6614498be43.jpg
15.0,39.1,1,225.0,0.734253446070673,586.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,5,0,0,0,0,1,0,False,False,False,True,False,False,False,False,False,False,False,False,True,train\ringworm\WIN_20240514_17_34_49_Pro_jpg.rf.7a782afd02f25a419285e3b8585bf5de.jpg
7.2,15.0,1,51.84,-1.4996752455166114,108.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,5,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,train\Hypersensitivity\hs2_jpg.rf.22bf9fc778278e58ed1843771a7bbf01.jpg
1.6,20.9,0,2.5600000000000005,-0.2760008845109092,33.44,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,5,0,0,0,0,1,0,False,True,False,False,False,False,False,False,False,False,False,True,False,train\Healthy\Image_28_jpg.rf.d6f095b598c1109ce39ce2ff59029a9b.jpg
15.3,36.1,0,234.09000000000003,0.1521132592664366,552.33,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,5,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,train\Healthy\1-1-_png_jpg.rf.2de5c412768a6dab5343d3d3d903224a.jpg
12.4,18.8,1,153.76000000000002,-0.228811173439367,233.12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,train\ringworm\438065176_410071371966337_678127791024855360_n_jpg.rf.fa0b6ea4e727ef02736157e61319802b.jpg
9.6,41.2,0,92.16,0.998442934170412,395.52,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,5,0,0,0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,train\Healthy\HEALTHY_020_jpg.rf.b4bdc953aaee3f7f5802f0e283ac9d60.jpg
5.8,27.2,0,33.64,0.6265118616634305,157.76,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,5,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,train\Healthy\dogs_016_jpg.rf.85283584e876dea1c85a99a5d8b7461b.jpg
6.1,26.2,1,37.21,0.6925123733603851,159.82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,train\demodicosis\IMG_5257_jpeg_jpg.rf.7907ed7daff6205ab36ecb2e939b0ffe.jpg
5.2,6.3,0,27.040000000000003,0.0456282881202095,32.76,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,5,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,True,False,True,False,train\Healthy\best-dog-food-for-skin-allergies-feature-2_jpg.rf.bfa6f4d3d76c0d77788ef3805db06d30.jpg
