AnimalName,Breed,Age,Weight_kg,MedicalHistory,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,MedicalHistory_norm,Symptom_1_norm,Symptom_2_norm,Symptom_3_norm,Symptom_4_norm,Symptom_5_norm,target_derm
dog,golden retriever,9.1,37.2,vaccinated,discharge from eyes,blindness,scartches,redness of eye,pains,vaccinated,discharge from eyes,blindness,scartches,redness of eye,pains,0
dog,poodle,3.3,4.5,recent surgery,excessive blood loss,dizziness and fainting,blurry vision,watery eyes,slow growth,recent surgery,excessive blood loss,dizziness and fainting,blurry vision,watery eyes,slow growth,0
dog,bulldog,5.4,15.0,no previous conditions,weakness,weight loss,lethargy,weakness,lethargy,no previous conditions,weakness,weight loss,lethargy,weakness,lethargy,0
dog,rottweiler,2.8,25.0,dental issues,weight loss,fever,fever,vomiting,fever,dental issues,weight loss,fever,fever,vomiting,fever,0
dog,boxer,9.2,24.1,dental issues,weight loss,fever,pain,poor immune function,inflammed eye,dental issues,weight loss,fever,pain,poor immune function,inflammed eye,0
dog,beagle,12.1,21.0,previous kidney disease,stand with head droping,weight loss,fever,abnormal behaviour,pneumonia,previous kidney disease,stand with head droping,weight loss,fever,abnormal behaviour,pneumonia,0
dog,yorkshire terrier,13.2,7.3,allergies,fever,loss of appetite,depression,loss of appetite,pains,allergies,fever,loss of appetite,depression,loss of appetite,pains,0
dog,bulldog,6.7,15.0,allergies,sneezing,coughing,diarrhea,retarded growth,weakness,allergies,sneezing,coughing,diarrhea,retarded growth,weakness,0
dog,beagle,14.6,29.7,previous heart condition,weakness,anorexia,anorexia,pain,shivering,previous heart condition,weakness,anorexia,anorexia,pain,shivering,0
dog,boxer,2.7,27.9,not vaccinated,restless movement,weakness,decreased stool production,heavy breathing,distended stomach,not vaccinated,restless movement,weakness,decreased stool production,heavy breathing,distended stomach,0
dog,yorkshire terrier,13.5,4.4,previous heart condition,lethargy,loss of appetite,swelling,nasal discharge,blindness,previous heart condition,lethargy,loss of appetite,swelling,nasal discharge,blindness,0
dog,mixed breed,4.5,27.5,skin conditions history,enteritis,weight loss,halitosis,air sacculitis,coughing,skin conditions history,enteritis,weight loss,halitosis,air sacculitis,coughing,1
dog,boxer,14.0,16.8,parasite history,loss of eat,weakness,sneezing,pain,fever,parasite history,loss of eat,weakness,sneezing,pain,fever,0
dog,yorkshire terrier,8.7,8.8,recent surgery,pain,weakness,difficulty breating,coughing,pain,recent surgery,pain,weakness,difficulty breating,coughing,pain,0
dog,rottweiler,4.1,36.3,skin conditions history,sneezing,coughing,fever,weakness,coughing,skin conditions history,sneezing,coughing,fever,weakness,coughing,1
dog,rottweiler,5.3,25.4,allergies,labored breathing,dyspnea,coughing,depression,anorexia,allergies,labored breathing,dyspnea,coughing,depression,anorexia,0
dog,german shepherd,5.3,43.6,not vaccinated,fever,fever,weakness,coughing,nasal,not vaccinated,fever,fever,weakness,coughing,nasal,0
dog,mixed breed,2.4,10.9,recent surgery,barren ewes,abortion,poor conformation,hairy fleeces,weight loss,recent surgery,barren ewes,abortion,poor conformation,hairy fleeces,weight loss,0
dog,beagle,9.2,32.3,recent surgery,redness,pains,trachea,scabs on feet,thickening of skin,recent surgery,redness,pains,trachea,scabs on feet,thickening of skin,1
dog,bulldog,8.7,21.1,allergies,abdominal discomfort,anorexia,milky hard,pain,sneezing,allergies,abdominal discomfort,anorexia,milky hard,pain,sneezing,0
dog,boxer,15.0,20.5,dental issues,diarrhea,weight loss,lethargy,succumb,pain,dental issues,diarrhea,weight loss,lethargy,succumb,pain,0
dog,bulldog,8.5,22.4,skin conditions history,blindness,distinctive bumps,facial swelling,stunted growth,egg production decreases,skin conditions history,blindness,distinctive bumps,facial swelling,stunted growth,egg production decreases,1
dog,yorkshire terrier,15.5,4.3,not vaccinated,discomfort,diarrhea,dry or dull hair,grinding teeth,pain,not vaccinated,discomfort,diarrhea,dry or dull hair,grinding teeth,pain,0
dog,rottweiler,0.5,28.2,vaccinated,anorexia,fever,weight loss,coughing,pain,vaccinated,anorexia,fever,weight loss,coughing,pain,0
dog,yorkshire terrier,4.6,6.4,previous heart condition,thivk skin,excessive eye watering,coughing,aggressiveness,sneezing,previous heart condition,thivk skin,excessive eye watering,coughing,aggressiveness,sneezing,1
dog,mixed breed,13.9,16.4,not vaccinated,difficulty swallowing,cough,difficulty swallowing,gasping for air,extending its neck,not vaccinated,difficulty swallowing,cough,difficulty swallowing,gasping for air,extending its neck,0
dog,poodle,4.3,7.7,no previous conditions,eyeproblem,weight loss,sneezing,weakness,reduce lamp marking,no previous conditions,eyeproblem,weight loss,sneezing,weakness,reduce lamp marking,0
dog,poodle,9.9,3.9,no previous conditions,coughing,pain,deability,eyeproblem,pain,no previous conditions,coughing,pain,deability,eyeproblem,pain,0
dog,rottweiler,1.2,29.5,chronic illness,upset stomach,diarrhea,vomiting,muscle pain,muscle stiffness,chronic illness,upset stomach,diarrhea,vomiting,muscle pain,muscle stiffness,0
dog,yorkshire terrier,7.7,10.0,vaccinated,coughing,diarrhea,sneezing,diarrhea,excession salivation,vaccinated,coughing,diarrhea,sneezing,diarrhea,excession salivation,0
dog,german shepherd,8.0,35.8,vaccinated,fever,sour throat,mortality,muscle aches,abnormalities,vaccinated,fever,sour throat,mortality,muscle aches,abnormalities,0
dog,rottweiler,4.0,37.9,skin conditions history,weight loss,urine retention,fever,sudden death,convulsion,skin conditions history,weight loss,urine retention,fever,sudden death,convulsion,1
dog,boxer,8.2,24.1,previous kidney disease,anorexia,fell unwell,flatulence,anorexia,coughing,previous kidney disease,anorexia,felt unwell,flatulence,anorexia,coughing,0
dog,boxer,10.0,19.9,allergies,diarrhea,limp,pain,anorexia,weight loss,allergies,diarrhea,limp,pain,anorexia,weight loss,0
dog,labrador retriever,8.0,35.2,dental issues,unable to exercise,fever,anorexia,tensemus,pain,dental issues,unable to exercise,fever,anorexia,tensemus,pain,0
dog,german shepherd,9.7,45.0,allergies,coughing,halitosis,enteritis,air sacculitis,weight loss,allergies,coughing,halitosis,enteritis,air sacculitis,weight loss,0
dog,bulldog,10.2,26.3,allergies,cough,gasping for air,weight loss,gasping for breath,extending its neck,allergies,cough,gasping for air,weight loss,gasping for breath,extending its neck,0
dog,boxer,0.5,17.0,chronic illness,sneezing,pain,crusty eye lashes and matting of eyelashes,anorexia,vomiting,chronic illness,sneezing,pain,crusty eye lashes and matting of eyelashes,anorexia,vomiting,1
dog,bulldog,6.8,18.8,not vaccinated,nuerological,loss of appetite,fever,eyeproblem,liver disease,not vaccinated,nuerological,loss of appetite,fever,eyeproblem,liver disease,0
dog,labrador retriever,9.9,24.7,recent surgery,emaciation,loss in weight,loss of appetite,weakness,diarrhoea,recent surgery,emaciation,loss in weight,loss of appetite,weakness,diarrhoea,0
dog,yorkshire terrier,8.0,6.0,recent surgery,haemorrhage,straw colored,abdominal pain,death,carcass decomposes,recent surgery,haemorrhage,straw colored,abdominal pain,death,carcass decomposes,0
dog,yorkshire terrier,8.6,6.0,skin conditions history,diffuse,diarrhea,scartch,pain,vomiting,skin conditions history,diffuse,diarrhea,scartch,pain,vomiting,1
dog,yorkshire terrier,5.3,5.6,parasite history,weight loss,depression,sneezing,anorexia,lethargy,parasite history,weight loss,depression,sneezing,anorexia,lethargy,0
dog,german shepherd,13.6,42.9,no previous conditions,sneezing,eye closed,sneezing,vomiting,lethargy,no previous conditions,sneezing,eye closed,sneezing,vomiting,lethargy,0
dog,poodle,11.3,3.7,not vaccinated,respiratory distress,seizuers,hyperesthesia,fever,sudden death,not vaccinated,respiratory distress,seizuers,hyperesthesia,fever,sudden death,0
dog,labrador retriever,8.0,29.9,previous kidney disease,vomiting,weakness,coughing,sneezing,pain,previous kidney disease,vomiting,weakness,coughing,sneezing,pain,0
dog,mixed breed,8.8,7.1,no previous conditions,strong cough,runny nose,sneezing,lethargy,loss of appettite,no previous conditions,strong cough,runny nose,sneezing,lethargy,loss of appettite,0
dog,beagle,7.0,23.1,no previous conditions,weakness,sneezing,pain,swelling may occur under jaw,yellow or green dropping,no previous conditions,weakness,sneezing,pain,swelling may occur under jaw,yellow or green dropping,0
dog,boxer,5.0,23.7,skin conditions history,anorexia,fever,vomiting,weakness,fever,skin conditions history,anorexia,fever,vomiting,weakness,fever,1
dog,boxer,1.7,26.2,previous heart condition,fever,difficulty breathing,thrist and urination,weight loss,enlarged lymph nodes or swelling,previous heart condition,fever,difficulty breathing,thrist and urination,weight loss,enlarged lymph nodes or swelling,0
dog,beagle,6.9,15.0,chronic illness,coughing,anorexia,coughing,coughing,hot udder,chronic illness,coughing,anorexia,coughing,coughing,hot udder,0
dog,german shepherd,4.6,45.0,previous kidney disease,weakness,distended chest,lethargy,anorexia,coughing,previous kidney disease,weakness,distended chest,lethargy,anorexia,coughing,0
dog,mixed breed,11.3,22.2,no previous conditions,pain,weakness,sneezing,diarrhea,sneezing,no previous conditions,pain,weakness,sneezing,diarrhea,sneezing,0
dog,bulldog,9.4,20.9,skin conditions history,egg production decreases,stunted growth,blindness,distinctive bumps,facial swelling,skin conditions history,egg production decreases,stunted growth,blindness,distinctive bumps,facial swelling,1
dog,rottweiler,15.0,42.8,vaccinated,watery eye,vomiting,vomiting,diarrhea,anorexia,vaccinated,watery eye,vomiting,vomiting,diarrhea,anorexia,0
dog,bulldog,5.6,19.3,allergies,reluctant move,loss of appetite,lameness,death,weakness,allergies,reluctant move,loss of appetite,lameness,death,weakness,0
dog,bulldog,8.1,19.5,allergies,fever,dull,hind quarted soil,animal stop feed,decrease in milk production,allergies,fever,dull,hind quarted soil,animal stop feed,decrease in milk production,0
dog,yorkshire terrier,14.3,8.6,no previous conditions,weight loss,weakness,lethargy,weight loss,sneezing,no previous conditions,weight loss,weakness,lethargy,weight loss,sneezing,0
dog,mixed breed,0.9,9.9,allergies,fever,difficulty in breathing,lethargy,death,pains,allergies,fever,difficulty in breathing,lethargy,death,pains,0
dog,german shepherd,9.4,41.2,recent surgery,swollen lymph nodes,difficulty walking,watery stool,lethargy,vaginal discharge,recent surgery,swollen lymph nodes,difficulty walking,watery stool,lethargy,vaginal discharge,0
dog,bulldog,14.3,21.3,not vaccinated,limping,willnot run to jump,swelling,week legs,pain on leg,not vaccinated,limping,willnot run to jump,swelling,week legs,pain on leg,0
dog,golden retriever,8.6,29.6,dental issues,back pain,pain,diarrhea,vomiting,weight loss,dental issues,back pain,pain,diarrhea,vomiting,weight loss,0
dog,labrador retriever,15.0,33.2,dental issues,abdominal pain,vomiting,weakness,swollen abdomen,swollen teats,dental issues,abdominal pain,vomiting,weakness,swollen abdomen,swollen teats,0
dog,bulldog,5.1,19.6,no previous conditions,weakness,sneezing,weakness,weight loss,anorexia,no previous conditions,weakness,sneezing,weakness,weight loss,anorexia,0
dog,rottweiler,6.3,45.0,no previous conditions,sneezing,weight loss,weakness,fever,sneezing,no previous conditions,sneezing,weight loss,weakness,fever,sneezing,0
dog,rottweiler,5.7,33.3,no previous conditions,coughing,fever,diarrhea,weakness,pain,no previous conditions,coughing,fever,diarrhea,weakness,pain,0
dog,beagle,3.0,17.7,vaccinated,allergic reaction,poor appetite,coughing,weight loss,distended chest,vaccinated,allergic reaction,poor appetite,coughing,weight loss,distended chest,0
dog,rottweiler,5.2,27.5,chronic illness,weakness,fever,weight loss,anorexia,lethargy,chronic illness,weakness,fever,weight loss,anorexia,lethargy,0
dog,rottweiler,1.2,29.2,chronic illness,upset stomach,diarrhea,vomiting,muscle pain,muscle stiffness,chronic illness,upset stomach,diarrhea,vomiting,muscle pain,muscle stiffness,0
dog,beagle,3.7,25.8,recent surgery,vomiting,diarrhea,dehydration,weight loss,poor coat apperence,recent surgery,vomiting,diarrhea,dehydration,weight loss,poor coat apperence,0
dog,rottweiler,5.0,30.3,no previous conditions,immediate death,difficulty in breathing,blue colored lip,bloody discharge,neurologic abnormalities,no previous conditions,immediate death,difficulty in breathing,blue colored lip,bloody discharge,neurologic abnormalities,0
dog,german shepherd,9.1,38.9,allergies,air sacculitis,halitosis,coughing,enteritis,weight loss,allergies,air sacculitis,halitosis,coughing,enteritis,weight loss,0
dog,rottweiler,0.5,45.0,chronic illness,lethargy,ulcer on gum,weight loss,anorexia,sneezing,chronic illness,lethargy,ulcer on gum,weight loss,anorexia,sneezing,1
dog,german shepherd,5.5,32.4,previous kidney disease,lethargy,coughing,weight loss,diarrhea,blood from mouth,previous kidney disease,lethargy,coughing,weight loss,diarrhea,blood from mouth,0
dog,beagle,3.2,31.5,recent surgery,poor coat apperence,diarrhea,vomiting,weight loss,dehydration,recent surgery,poor coat apperence,diarrhea,vomiting,weight loss,dehydration,0
dog,mixed breed,14.2,18.7,recent surgery,lesions in the nasal cavity,lesions on nose,vomiting,noisy breathing,lesions on nose,recent surgery,lesions in the nasal cavity,lesions on nose,vomiting,noisy breathing,lesions on nose,1
dog,rottweiler,6.1,29.6,vaccinated,isolation from flock,stealing,nesting behaviour,pawing at bedding,pains,vaccinated,isolation from flock,stealing,nesting behaviour,pawing at bedding,pains,0
dog,beagle,11.0,23.1,vaccinated,jaundice,loss of appetite,rough hair coat,coughing,death,vaccinated,jaundice,loss of appetite,rough hair coat,coughing,death,0
dog,beagle,6.3,28.9,recent surgery,coughing,gurgling sound,diarrhea,lethargy,vomiting,recent surgery,coughing,gurgling sound,diarrhea,lethargy,vomiting,0
dog,poodle,3.8,5.6,recent surgery,sneezing,pain,weakness,skeleten abnormalities,weakness,recent surgery,sneezing,pain,weakness,skeleten abnormalities,weakness,0
dog,golden retriever,9.5,31.5,vaccinated,anorexia,constipation,fever,weakness,lethargy,vaccinated,anorexia,constipation,fever,weakness,lethargy,0
dog,beagle,5.4,27.4,not vaccinated,anorexia,vomiting,weight loss,anorexia,vomiting,not vaccinated,anorexia,vomiting,weight loss,anorexia,vomiting,0
dog,boxer,6.5,29.8,skin conditions history,bloody diarhhea,depression,dullness,death,weakness,skin conditions history,bloody diarhhea,depression,dullness,death,weakness,1
dog,labrador retriever,12.8,28.9,no previous conditions,loss in weight,emaciation,loss of appetite,weakness,diarrhoea,no previous conditions,loss in weight,emaciation,loss of appetite,weakness,diarrhoea,0
dog,rottweiler,10.1,25.0,no previous conditions,coughing,diarrhea,diarrhea,coughing,vomiting,no previous conditions,coughing,diarrhea,diarrhea,coughing,vomiting,0
dog,rottweiler,5.8,25.0,allergies,anorexia,diarrhea,coughing,diarrhea,weakness,allergies,anorexia,diarrhea,coughing,diarrhea,weakness,0
dog,poodle,1.9,6.0,recent surgery,extension of neck,weakness,coughing,weight loss,lethargy,recent surgery,extension of neck,weakness,coughing,weight loss,lethargy,0
dog,rottweiler,8.7,43.2,not vaccinated,eye redness,frequent eye infections,crusty eye lashes and matting of eyelashes,foul smelling stools,increased passing gas,not vaccinated,eye redness,frequent eye infections,crusty eye lashes and matting of eyelashes,foul smelling stools,increased passing gas,1
dog,labrador retriever,3.5,42.7,chronic illness,vomiting,weight loss,drooling,sneezing,coughing,chronic illness,vomiting,weight loss,drooling,sneezing,coughing,0
dog,mixed breed,2.6,11.4,no previous conditions,weakness,sneezing,hematuria,lethargy,sickness,no previous conditions,weakness,sneezing,hematuria,lethargy,sickness,0
dog,mixed breed,13.2,19.3,dental issues,fetopelvic dispropotion,uteria inertia,malpresentation,death,pains,dental issues,fetopelvic dispropotion,uteria inertia,malpresentation,death,pains,0
dog,german shepherd,10.8,34.9,vaccinated,lethargy,anorexia,weakness,vomiting,weakness,vaccinated,lethargy,anorexia,weakness,vomiting,weakness,0
dog,poodle,6.0,8.0,previous kidney disease,horny growth,red on affected area,red skin,lesions on ear,wart-like growth,previous kidney disease,horny growth,red on affected area,red skin,lesions on ear,wart-like growth,1
dog,golden retriever,13.8,28.7,previous kidney disease,fever,loss of appetite,rapid pulse and heart rates,lameness in affected leg,depression,previous kidney disease,fever,loss of appetite,rapid pulse and heart rates,lameness in affected leg,depression,0
dog,yorkshire terrier,14.8,6.2,dental issues,fever,difficulty in breathing,dribbling of saliva,inability of swalllon feeding,moist and painfull,dental issues,fever,difficulty in breathing,dribbling of saliva,inability of swalllon feeding,moist and painfull,0
dog,mixed breed,1.6,24.0,skin conditions history,decreased eyelid,very cold skin,lethargy,lip,fever,skin conditions history,decreased eyelid,very cold skin,lethargy,lip,fever,1
dog,rottweiler,1.6,34.0,recent surgery,mummification,pain,abortion,weak kids,stillbirth,recent surgery,mummification,pain,abortion,weak kids,stillbirth,0
dog,beagle,15.0,21.1,not vaccinated,pain,pain,weakness,weight loss,anorexia,not vaccinated,pain,pain,weakness,weight loss,anorexia,0
dog,boxer,4.6,23.6,previous kidney disease,difficulty breathing,coughing,unable to exercise,fever,eye and skin change,previous kidney disease,difficulty breathing,coughing,unable to exercise,fever,eye and skin change,1
dog,bulldog,12.5,26.9,previous heart condition,coughing,vomiting,fever,sneezing,coughing,previous heart condition,coughing,vomiting,fever,sneezing,coughing,0
dog,bulldog,5.3,23.1,chronic illness,vomiting,fever,anorexia,poor appetite,weakness,chronic illness,vomiting,fever,anorexia,poor appetite,weakness,0
dog,mixed breed,12.9,13.3,skin conditions history,swollen lymph nodes,difficulty walking,back pain,lethargy,vaginal discharge,skin conditions history,swollen lymph nodes,difficulty walking,back pain,lethargy,vaginal discharge,1
dog,mixed breed,5.5,11.5,recent surgery,decreased growth of bone,pain,sneezing,swelling,diarrhea,recent surgery,decreased growth of bone,pain,sneezing,swelling,diarrhea,0
dog,bulldog,9.2,23.2,parasite history,egg production decreases,stunted growth,blindness,distinctive bumps,facial swelling,parasite history,egg production decreases,stunted growth,blindness,distinctive bumps,facial swelling,0
dog,rottweiler,7.6,24.2,recent surgery,bluish white opacity,blindness,anversion to light,tear production,pains,recent surgery,bluish white opacity,blindness,anversion to light,tear production,pains,0
dog,labrador retriever,8.5,42.2,parasite history,vomiting,sneezing,loss of consciousness,lethargy,vomiting,parasite history,vomiting,sneezing,loss of consciousness,lethargy,vomiting,0
dog,rottweiler,4.4,36.3,previous kidney disease,weakness,moist,weight loss,lethargy,muscular spasms,previous kidney disease,weakness,moist,weight loss,lethargy,muscular spasms,0
dog,rottweiler,5.8,41.0,recent surgery,poor coat condition,fever,fatique,weight loss,infection of the skin,recent surgery,poor coat condition,fever,fatique,weight loss,infection of the skin,1
dog,bulldog,3.9,19.3,no previous conditions,coughing,coughing,weight loss,salivating,bloody diarrhea,no previous conditions,coughing,coughing,weight loss,salivating,bloody diarrhea,0
dog,bulldog,12.2,21.1,chronic illness,swollen eyelids,weight loss,weight loss,weakness,vomiting,chronic illness,swollen eyelids,weight loss,weight loss,weakness,vomiting,0
dog,labrador retriever,1.6,41.7,recent surgery,fever,chronic eye inflamation,poor appetite,lethargy,neurologic abnormalities,recent surgery,fever,chronic eye inflamation,poor appetite,lethargy,neurologic abnormalities,0
dog,bulldog,6.8,31.6,allergies,haemorrhage,straw colored,abdominal pain,death,carcass decomposes,allergies,haemorrhage,straw colored,abdominal pain,death,carcass decomposes,0
dog,bulldog,13.0,25.0,allergies,watering diarrhea,depression,emaciation,ruffled coat,lethargy,allergies,watering diarrhea,depression,emaciation,ruffled coat,lethargy,0
dog,golden retriever,5.5,42.5,no previous conditions,dyspnea,coughing,fever,anorexia,lethargy,no previous conditions,dyspnea,coughing,fever,anorexia,lethargy,0
dog,labrador retriever,8.7,27.8,recent surgery,sneezing,vomiting,weakness,sneezing,weight loss,recent surgery,sneezing,vomiting,weakness,sneezing,weight loss,0
dog,yorkshire terrier,12.2,11.2,skin conditions history,blood from mouth,diarrhea,coughing,lethargy,weight loss,skin conditions history,blood from mouth,diarrhea,coughing,lethargy,weight loss,1
dog,yorkshire terrier,11.5,5.7,dental issues,fever,difficulty in breathing,dribbling of saliva,inability of swalllon feeding,moist and painfull,dental issues,fever,difficulty in breathing,dribbling of saliva,inability of swalllon feeding,moist and painfull,0
dog,yorkshire terrier,5.3,9.2,chronic illness,decreased milk,holding limbs off the ground,weight loss,lameness,wool production,chronic illness,decreased milk,holding limbs off the ground,weight loss,lameness,wool production,0
dog,yorkshire terrier,4.9,6.2,dental issues,weight loss,fever,anorexia,lethargy,anorexia,dental issues,weight loss,fever,anorexia,lethargy,anorexia,0
dog,yorkshire terrier,11.0,5.6,dental issues,fever,difficulty in breathing,dribbling of saliva,inability of swalllon feeding,moist and painfull,dental issues,fever,difficulty in breathing,dribbling of saliva,inability of swalllon feeding,moist and painfull,0
dog,rottweiler,7.1,45.0,vaccinated,nasal discharge,vomiting,sneezing,fever,sneezing,vaccinated,nasal discharge,vomiting,sneezing,fever,sneezing,0
dog,rottweiler,7.2,36.5,previous heart condition,vomiting,weight loss,sneezing,fever,weight loss,previous heart condition,vomiting,weight loss,sneezing,fever,weight loss,0
dog,poodle,3.9,8.9,vaccinated,fetopelvic dispropotion,uteria inertia,malpresentation,death,pains,vaccinated,fetopelvic dispropotion,uteria inertia,malpresentation,death,pains,0
dog,german shepherd,0.8,35.3,not vaccinated,coughing,dyspnea,depression,anorexia,neurologic sign,not vaccinated,coughing,dyspnea,depression,anorexia,neurologic sign,0
dog,golden retriever,7.2,37.0,dental issues,diarrhea,sneezing,diffuse,coughing,obstructed lungs,dental issues,diarrhea,sneezing,diffuse,coughing,obstructed lungs,0
dog,rottweiler,11.8,45.0,previous heart condition,lack of walking,lack of flying,roughened,dehydration,pains,previous heart condition,lack of walking,lack of flying,roughened,dehydration,pains,0
dog,poodle,8.2,7.2,no previous conditions,sneezing,decreased eyelid,weakness,anorexia,pain,no previous conditions,sneezing,decreased eyelid,weakness,anorexia,pain,0
dog,golden retriever,2.4,35.9,parasite history,diarrhea,lethargy,weight loss,coughing,sneezing,parasite history,diarrhea,lethargy,weight loss,coughing,sneezing,0
dog,boxer,10.4,20.3,allergies,weakness,pain,sneezing,sneezing,pain,allergies,weakness,pain,sneezing,sneezing,pain,0
dog,mixed breed,1.8,25.9,parasite history,unable to eat,lossened teeth,bloody drool,foul breath,facial swelling,parasite history,unable to eat,lossened teeth,bloody drool,foul breath,facial swelling,0
dog,bulldog,10.2,21.1,previous heart condition,egg production decreases,stunted growth,blindness,distinctive bumps,facial swelling,previous heart condition,egg production decreases,stunted growth,blindness,distinctive bumps,facial swelling,0
dog,labrador retriever,9.9,32.9,not vaccinated,stripped remiges,less feather growth,ruffled feathers,defienciency in vitamin,diarrhea,not vaccinated,stripped remiges,less feather growth,ruffled feathers,defienciency in vitamin,diarrhea,0
dog,german shepherd,0.8,42.0,skin conditions history,excessive blood loss,dizziness and fainting,blurry vision,watery eyes,slow growth,skin conditions history,excessive blood loss,dizziness and fainting,blurry vision,watery eyes,slow growth,1
dog,mixed breed,9.6,32.6,parasite history,weight loss,weight loss,weakness,fast breathing,animal gets uneasy,parasite history,weight loss,weight loss,weakness,fast breathing,animal gets uneasy,0
dog,beagle,0.5,15.0,previous kidney disease,rectal bleeding,flaky,weight loss,coughing,coughing,previous kidney disease,rectal bleeding,flaky,weight loss,coughing,coughing,0
dog,yorkshire terrier,4.5,9.3,dental issues,heavy breathing,yellow in beak,tail_bobbing,weakness,sleeping excessively,dental issues,heavy breathing,yellow in beak,tail_bobbing,weakness,sleeping excessively,0
dog,golden retriever,6.2,38.4,vaccinated,fever,coughing,weight loss,vomiting,pain,vaccinated,fever,coughing,weight loss,vomiting,pain,0
dog,poodle,13.4,8.2,parasite history,abortion at the end of gestation,fatigue,weak calves,join pains,swelling of internal organs,parasite history,abortion at the end of gestation,fatigue,weak calves,join pains,swelling of internal organs,0
dog,boxer,0.9,22.9,no previous conditions,fever,depression,relunctance to move,salivation,nasal discharge,no previous conditions,fever,depression,relunctance to move,salivation,nasal discharge,0
dog,german shepherd,8.3,33.1,no previous conditions,swollen lymph nodes,lethargy,watery stool,difficulty walking,vaginal discharge,no previous conditions,swollen lymph nodes,lethargy,watery stool,difficulty walking,vaginal discharge,0
dog,bulldog,3.0,16.7,previous heart condition,loss of eat,fever,fever,weakness,fever,previous heart condition,loss of eat,fever,fever,weakness,fever,0
dog,rottweiler,2.2,28.2,allergies,listlessness,lethargy,anorexia,heavy breathing,diarrhea,allergies,listlessness,lethargy,anorexia,heavy breathing,diarrhea,0
dog,labrador retriever,10.6,34.7,parasite history,weakness,weight loss,vomiting,pain,scabs on feet,parasite history,weakness,weight loss,vomiting,pain,scabs on feet,1
dog,boxer,0.9,18.8,no previous conditions,fever,depression,relunctance to move,salivation,nasal discharge,no previous conditions,fever,depression,relunctance to move,salivation,nasal discharge,0
dog,beagle,5.3,29.4,skin conditions history,ulcerated muscle,excession salivation,fever,abnormal conformation,ulcerated ear,skin conditions history,ulcerated muscle,excession salivation,fever,abnormal conformation,ulcerated ear,1
dog,beagle,15.0,15.0,no previous conditions,coughing,blood in faces,pain,ring shaped lesion,anorexia,no previous conditions,coughing,blood in faces,pain,ring shaped lesion,anorexia,1
dog,labrador retriever,8.3,45.0,recent surgery,fever,depression,loss of appetite,loss of appetite,pains,recent surgery,fever,depression,loss of appetite,loss of appetite,pains,0
dog,golden retriever,12.1,34.3,previous kidney disease,coughing,diarrhea,convulsion,pain,vomiting,previous kidney disease,coughing,diarrhea,convulsion,pain,vomiting,0
dog,labrador retriever,3.6,38.7,previous kidney disease,diarrhea,bleeding in eye and skin,vomiting,blood in urine,lethargy,previous kidney disease,diarrhea,bleeding in eye and skin,vomiting,blood in urine,lethargy,1
dog,german shepherd,10.5,32.8,chronic illness,painfull to touch,diarrhea,fever,loss od appetite,weakness,chronic illness,painfull to touch,diarrhea,fever,loss od appetite,weakness,0
dog,labrador retriever,10.0,38.9,skin conditions history,pains,loss of appetite,fever,depression,loss of appetite,skin conditions history,pains,loss of appetite,fever,depression,loss of appetite,1
