AnimalName,Breed,Age,Weight_kg,MedicalHistory,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
dog,yorkshire terrier,5.3,5.6,parasite history,weight loss,depression,sneezing,anorexia,lethargy
dog,german shepherd,13.6,42.9,no previous conditions,sneezing,eye closed,sneezing,vomiting,lethargy
dog,poodle,11.3,3.7,not vaccinated,respiratory distress,seizuers,hyperesthesia,fever,sudden death
dog,labrador retriever,8.0,29.9,previous kidney disease,vomiting,weakness,coughing,sneezing,pain
dog,mixed breed,8.8,7.1,no previous conditions,strong cough,runny nose,sneezing,lethargy,loss of appettite
dog,beagle,7.0,23.1,no previous conditions,weakness,sneezing,pain,swelling may occur under jaw,yellow or green dropping
dog,boxer,5.0,23.7,skin conditions history,anorexia,fever,vomiting,weakness,fever
dog,boxer,1.7,26.2,previous heart condition,fever,difficulty breathing,thrist and urination,weight loss,enlarged lymph nodes or swelling
dog,beagle,6.9,15.0,chronic illness,coughing,anorexia,coughing,coughing,hot udder
dog,german shepherd,4.6,45.0,previous kidney disease,weakness,distended chest,lethargy,anorexia,coughing
dog,mixed breed,11.3,22.2,no previous conditions,pain,weakness,sneezing,diarrhea,sneezing
dog,bulldog,9.4,20.9,skin conditions history,egg production decreases,stunted growth,blindness,distinctive bumps,facial swelling
dog,rottweiler,15.0,42.8,vaccinated,watery eye,vomiting,vomiting,diarrhea,anorexia
dog,bulldog,5.6,19.3,allergies,reluctant move,loss of appetite,lameness,death,weakness
dog,bulldog,8.1,19.5,allergies,fever,dull,hind quarted soil,animal stop feed,decrease in milk production
dog,yorkshire terrier,14.3,8.6,no previous conditions,weight loss,weakness,lethargy,weight loss,sneezing
dog,mixed breed,0.9,9.9,allergies,fever,difficulty in breathing,lethargy,death,pains
dog,german shepherd,9.4,41.2,recent surgery,swollen lymph nodes,difficulty walking,watery stool,lethargy,vaginal discharge
dog,bulldog,14.3,21.3,not vaccinated,limping,willnot run to jump,swelling,week legs,pain on leg
dog,golden retriever,8.6,29.6,dental issues,back pain,pain,diarrhea,vomiting,weight loss
dog,labrador retriever,15.0,33.2,dental issues,abdominal pain,vomiting,weakness,swollen abdomen,swollen teats
dog,bulldog,5.1,19.6,no previous conditions,weakness,sneezing,weakness,weight loss,anorexia
dog,rottweiler,6.3,45.0,no previous conditions,sneezing,weight loss,weakness,fever,sneezing
dog,rottweiler,5.7,33.3,no previous conditions,coughing,fever,diarrhea,weakness,pain
dog,beagle,3.0,17.7,vaccinated,allergic reaction,poor appetite,coughing,weight loss,distended chest
dog,rottweiler,5.2,27.5,chronic illness,weakness,fever,weight loss,anorexia,lethargy
dog,rottweiler,1.2,29.2,chronic illness,upset stomach,diarrhea,vomiting,muscle pain,muscle stiffness
dog,beagle,3.7,25.8,recent surgery,vomiting,diarrhea,dehydration,weight loss,poor coat apperence
dog,rottweiler,5.0,30.3,no previous conditions,immediate death,difficulty in breathing,blue colored lip,bloody discharge,neurologic abnormalities
dog,german shepherd,9.1,38.9,allergies,air sacculitis,halitosis,coughing,enteritis,weight loss
dog,rottweiler,0.5,45.0,chronic illness,lethargy,ulcer on gum,weight loss,anorexia,sneezing
dog,german shepherd,5.5,32.4,previous kidney disease,lethargy,coughing,weight loss,diarrhea,blood from mouth
dog,beagle,3.2,31.5,recent surgery,poor coat apperence,diarrhea,vomiting,weight loss,dehydration
dog,mixed breed,14.2,18.7,recent surgery,lesions in the nasal cavity,lesions on nose,vomiting,noisy breathing,lesions on nose
dog,rottweiler,6.1,29.6,vaccinated,isolation from flock,stealing,nesting behaviour,pawing at bedding,pains
dog,beagle,11.0,23.1,vaccinated,jaundice,loss of appetite,rough hair coat,coughing,death
dog,beagle,6.3,28.9,recent surgery,coughing,gurgling sound,diarrhea,lethargy,vomiting
dog,poodle,3.8,5.6,recent surgery,sneezing,pain,weakness,skeleten abnormalities,weakness
dog,golden retriever,9.5,31.5,vaccinated,anorexia,constipation,fever,weakness,lethargy
dog,beagle,5.4,27.4,not vaccinated,anorexia,vomiting,weight loss,anorexia,vomiting
dog,boxer,6.5,29.8,skin conditions history,bloody diarhhea,depression,dullness,death,weakness
dog,labrador retriever,12.8,28.9,no previous conditions,loss in weight,emaciation,loss of appetite,weakness,diarrhoea
dog,rottweiler,10.1,25.0,no previous conditions,coughing,diarrhea,diarrhea,coughing,vomiting
dog,rottweiler,5.8,25.0,allergies,anorexia,diarrhea,coughing,diarrhea,weakness
dog,poodle,1.9,6.0,recent surgery,extension of neck,weakness,coughing,weight loss,lethargy
dog,rottweiler,8.7,43.2,not vaccinated,eye redness,frequent eye infections,crusty eye lashes and matting of eyelashes,foul smelling stools,increased passing gas
dog,labrador retriever,3.5,42.7,chronic illness,vomiting,weight loss,drooling,sneezing,coughing
dog,mixed breed,2.6,11.4,no previous conditions,weakness,sneezing,hematuria,lethargy,sickness
dog,mixed breed,13.2,19.3,dental issues,fetopelvic dispropotion,uteria inertia,malpresentation,death,pains
dog,german shepherd,10.8,34.9,vaccinated,lethargy,anorexia,weakness,vomiting,weakness
dog,poodle,6.0,8.0,previous kidney disease,horny growth,red on affected area,red skin,lesions on ear,wart-like growth
dog,golden retriever,13.8,28.7,previous kidney disease,fever,loss of appetite,rapid pulse and heart rates,lameness in affected leg,depression
dog,yorkshire terrier,14.8,6.2,dental issues,fever,difficulty in breathing,dribbling of saliva,inability of swalllon feeding,moist and painfull
dog,mixed breed,1.6,24.0,skin conditions history,decreased eyelid,very cold skin,lethargy,lip,fever
dog,rottweiler,1.6,34.0,recent surgery,mummification,pain,abortion,weak kids,stillbirth
dog,beagle,15.0,21.1,not vaccinated,pain,pain,weakness,weight loss,anorexia
dog,boxer,4.6,23.6,previous kidney disease,difficulty breathing,coughing,unable to exercise,fever,eye and skin change
dog,bulldog,12.5,26.9,previous heart condition,coughing,vomiting,fever,sneezing,coughing
dog,bulldog,5.3,23.1,chronic illness,vomiting,fever,anorexia,poor appetite,weakness
dog,mixed breed,12.9,13.3,skin conditions history,swollen lymph nodes,difficulty walking,back pain,lethargy,vaginal discharge
dog,mixed breed,5.5,11.5,recent surgery,decreased growth of bone,pain,sneezing,swelling,diarrhea
dog,bulldog,9.2,23.2,parasite history,egg production decreases,stunted growth,blindness,distinctive bumps,facial swelling
dog,rottweiler,7.6,24.2,recent surgery,bluish white opacity,blindness,anversion to light,tear production,pains
dog,labrador retriever,8.5,42.2,parasite history,vomiting,sneezing,loss of consciousness,lethargy,vomiting
dog,rottweiler,4.4,36.3,previous kidney disease,weakness,moist,weight loss,lethargy,muscular spasms
dog,rottweiler,5.8,41.0,recent surgery,poor coat condition,fever,fatique,weight loss,infection of the skin
dog,bulldog,3.9,19.3,no previous conditions,coughing,coughing,weight loss,salivating,bloody diarrhea
dog,bulldog,12.2,21.1,chronic illness,swollen eyelids,weight loss,weight loss,weakness,vomiting
dog,labrador retriever,1.6,41.7,recent surgery,fever,chronic eye inflamation,poor appetite,lethargy,neurologic abnormalities
dog,bulldog,6.8,31.6,allergies,haemorrhage,straw colored,abdominal pain,death,carcass decomposes
dog,bulldog,13.0,25.0,allergies,watering diarrhea,depression,emaciation,ruffled coat,lethargy
dog,golden retriever,5.5,42.5,no previous conditions,dyspnea,coughing,fever,anorexia,lethargy
dog,labrador retriever,8.7,27.8,recent surgery,sneezing,vomiting,weakness,sneezing,weight loss
dog,yorkshire terrier,12.2,11.2,skin conditions history,blood from mouth,diarrhea,coughing,lethargy,weight loss
dog,yorkshire terrier,11.5,5.7,dental issues,fever,difficulty in breathing,dribbling of saliva,inability of swalllon feeding,moist and painfull
dog,yorkshire terrier,5.3,9.2,chronic illness,decreased milk,holding limbs off the ground,weight loss,lameness,wool production
dog,yorkshire terrier,4.9,6.2,dental issues,weight loss,fever,anorexia,lethargy,anorexia
dog,yorkshire terrier,11.0,5.6,dental issues,fever,difficulty in breathing,dribbling of saliva,inability of swalllon feeding,moist and painfull
dog,rottweiler,7.1,45.0,vaccinated,nasal discharge,vomiting,sneezing,fever,sneezing
dog,rottweiler,7.2,36.5,previous heart condition,vomiting,weight loss,sneezing,fever,weight loss
dog,poodle,3.9,8.9,vaccinated,fetopelvic dispropotion,uteria inertia,malpresentation,death,pains
dog,german shepherd,0.8,35.3,not vaccinated,coughing,dyspnea,depression,anorexia,neurologic sign
dog,golden retriever,7.2,37.0,dental issues,diarrhea,sneezing,diffuse,coughing,obstructed lungs
dog,rottweiler,11.8,45.0,previous heart condition,lack of walking,lack of flying,roughened,dehydration,pains
dog,poodle,8.2,7.2,no previous conditions,sneezing,decreased eyelid,weakness,anorexia,pain
dog,golden retriever,2.4,35.9,parasite history,diarrhea,lethargy,weight loss,coughing,sneezing
dog,boxer,10.4,20.3,allergies,weakness,pain,sneezing,sneezing,pain
dog,mixed breed,1.8,25.9,parasite history,unable to eat,lossened teeth,bloody drool,foul breath,facial swelling
dog,bulldog,10.2,21.1,previous heart condition,egg production decreases,stunted growth,blindness,distinctive bumps,facial swelling
dog,labrador retriever,9.9,32.9,not vaccinated,stripped remiges,less feather growth,ruffled feathers,defienciency in vitamin,diarrhea
dog,german shepherd,0.8,42.0,skin conditions history,excessive blood loss,dizziness and fainting,blurry vision,watery eyes,slow growth
dog,mixed breed,9.6,32.6,parasite history,weight loss,weight loss,weakness,fast breathing,animal gets uneasy
dog,beagle,0.5,15.0,previous kidney disease,rectal bleeding,flaky,weight loss,coughing,coughing
dog,yorkshire terrier,4.5,9.3,dental issues,heavy breathing,yellow in beak,tail_bobbing,weakness,sleeping excessively
dog,golden retriever,6.2,38.4,vaccinated,fever,coughing,weight loss,vomiting,pain
dog,poodle,13.4,8.2,parasite history,abortion at the end of gestation,fatigue,weak calves,join pains,swelling of internal organs
dog,boxer,0.9,22.9,no previous conditions,fever,depression,relunctance to move,salivation,nasal discharge
dog,german shepherd,8.3,33.1,no previous conditions,swollen lymph nodes,lethargy,watery stool,difficulty walking,vaginal discharge
dog,bulldog,3.0,16.7,previous heart condition,loss of eat,fever,fever,weakness,fever
dog,rottweiler,2.2,28.2,allergies,listlessness,lethargy,anorexia,heavy breathing,diarrhea
dog,labrador retriever,10.6,34.7,parasite history,weakness,weight loss,vomiting,pain,scabs on feet
dog,boxer,0.9,18.8,no previous conditions,fever,depression,relunctance to move,salivation,nasal discharge
dog,beagle,5.3,29.4,skin conditions history,ulcerated muscle,excession salivation,fever,abnormal conformation,ulcerated ear
dog,beagle,15.0,15.0,no previous conditions,coughing,blood in faces,pain,ring shaped lesion,anorexia
dog,labrador retriever,8.3,45.0,recent surgery,fever,depression,loss of appetite,loss of appetite,pains
dog,golden retriever,12.1,34.3,previous kidney disease,coughing,diarrhea,convulsion,pain,vomiting
dog,labrador retriever,3.6,38.7,previous kidney disease,diarrhea,bleeding in eye and skin,vomiting,blood in urine,lethargy
dog,german shepherd,10.5,32.8,chronic illness,painfull to touch,diarrhea,fever,loss od appetite,weakness
dog,labrador retriever,10.0,38.9,skin conditions history,pains,loss of appetite,fever,depression,loss of appetite
dog,bulldog,3.1,19.1,no previous conditions,fluffed feather,loss of appetite,coughing,vomiting,snoring
dog,poodle,9.9,3.5,parasite history,upset stomach,diarrhea,coughing,weight loss,anaemia
dog,mixed breed,3.0,26.8,chronic illness,holding limbs off the ground,lameness,decreased milk,wool production,weight loss
dog,beagle,1.7,27.7,chronic illness,stop eating,stop drinking,change their normal behaviour,weight loss,pains
dog,bulldog,9.7,24.7,parasite history,fever,diarrhea,abdominal pain,stiffness,severe weekness and depression
dog,yorkshire terrier,5.9,6.8,parasite history,dry skin,coughing,anorexia,diffulty chewing,pain
dog,german shepherd,11.7,33.2,not vaccinated,abdominal pain,diarrhea,malpresentation,shock,anorexia
dog,rottweiler,9.7,25.0,vaccinated,pain,coughing,weight loss,vomiting,weakness
dog,bulldog,4.3,17.6,skin conditions history,fever,sour throat,mortality,muscle aches,abnormalities
dog,bulldog,12.9,23.0,chronic illness,difficulty breathing,unable to exercise,coughing,eye and skin change,fever
dog,bulldog,7.5,21.1,chronic illness,stiffness,anaemia,sneezing,fever,diarrhea
dog,mixed breed,0.8,8.4,allergies,fever,difficulty in breathing,lethargy,death,pains
dog,mixed breed,9.6,37.8,parasite history,lethargy,upset stomach,weakness,wool is clumped,diarrhea
dog,bulldog,10.1,16.2,dental issues,weight loss,diarrhea,lethargy,weakness,lethargy
dog,rottweiler,7.2,45.0,parasite history,loss of tail tone,lethargy,weight loss,lethargy,diarrhea
dog,yorkshire terrier,7.9,9.5,allergies,short term lethargy,loss of  appetite,poor appetite,rapid heart rate,week pulse
dog,german shepherd,6.9,31.7,allergies,vomiting,heavy breathing,fever,anorexia,weakness
dog,labrador retriever,8.9,37.1,parasite history,pruritis,diarrhea,inability to digest,dull,fever
dog,bulldog,13.7,27.5,skin conditions history,weight loss,green dropping,fever,anorexia,excess sleeping
dog,labrador retriever,2.1,38.5,previous kidney disease,pains,achomotrica,dehydration,poor immune function,death
dog,yorkshire terrier,8.5,5.8,previous heart condition,retarded growth,colic,lethargy,diarrhea,poor coat condition
dog,bulldog,3.8,17.3,allergies,fever,sour throat,mortality,muscle aches,abnormalities
dog,beagle,8.6,26.2,allergies,itchiness,watery eye,thick crusting,pain,hair loss
dog,beagle,7.6,18.2,previous kidney disease,diarrhea,coughing,weakness,pain,pain
dog,golden retriever,9.6,36.6,vaccinated,difficulty swallowing,cough,difficulty swallowing,gasping for air,extending its neck
dog,bulldog,9.4,25.5,allergies,gasping,coughing,mild weakness,droopy wings,twisted neck
dog,beagle,11.5,15.7,recent surgery,fever,diarrhea,enteritis,weight loss,stomach  cramps
dog,bulldog,3.4,27.9,allergies,weakness,pain,oral lesion,eye redness,diarrhea
dog,poodle,15.0,3.8,previous heart condition,weakness,animal gets uneasy,fever,forthy eye,weakness
dog,rottweiler,11.4,36.0,allergies,lethargy,anorexia,diarrhea,sneezing,coughing
dog,beagle,12.7,23.9,previous heart condition,pain,anorexia,trauma,coughing,coughing
dog,labrador retriever,8.9,32.0,previous kidney disease,fever,formation of vesicles,fever,weight loss,weight loss
dog,beagle,2.2,21.6,vaccinated,fetopelvic dispropotion,uteria inertia,malpresentation,death,pains
dog,mixed breed,3.2,26.3,chronic illness,weight loss,wool production,holding limbs off the ground,decreased milk,lameness
dog,rottweiler,8.9,27.2,parasite history,vomitting,weakness,loss of appetite,fever,weight loss
dog,beagle,11.3,30.0,dental issues,diarrhea,coughing,diarrhea,pain,coughing
dog,yorkshire terrier,14.5,5.5,recent surgery,forthy eye,torticollis,weakness,swelling,emaciation
dog,rottweiler,5.6,45.0,skin conditions history,crusty eye lashes and matting of eyelashes,weight loss,coughing,weight loss,weight loss
dog,german shepherd,4.5,30.6,no previous conditions,weakness,coughing,diarrhea,drooping wings,coughing
dog,boxer,13.1,18.1,skin conditions history,nosebleed,trauma,mild weakness,nose picking,dry air
dog,bulldog,5.1,23.3,skin conditions history,vomiting,kick,weakness,raised growth or bump,anorexia
dog,german shepherd,6.4,29.4,dental issues,forthy eye,torticollis,weakness,swelling,emaciation
dog,german shepherd,6.4,29.0,not vaccinated,crusting of the skin,ulcerated skin,hair loss,darkened skin,dandruff
dog,poodle,7.7,5.5,parasite history,fever,fever,vomiting,lethargy,weakness
dog,yorkshire terrier,5.9,5.9,chronic illness,lethargy,bloody diarhhea,pain,pain,sneezing
dog,bulldog,4.0,22.9,skin conditions history,anorexia,sneezing,distended stomach,coughing,weight loss
dog,german shepherd,10.4,37.0,allergies,severe kerititis,anorexia,weight loss,sneezing,weight loss
dog,yorkshire terrier,4.9,8.7,chronic illness,pain,weight loss,ruminal stasis,coughing,urine retention
dog,bulldog,3.1,17.7,recent surgery,fever,chronic eye inflamation,poor appetite,lethargy,neurologic abnormalities
dog,yorkshire terrier,10.6,9.2,not vaccinated,fever,diarrhea,swelling,weight loss,pain
dog,mixed breed,2.5,17.1,recent surgery,anorexia,sneezing,fever,heat,loss of appetite
dog,rottweiler,5.9,25.3,skin conditions history,death,uteria inertia,malpresentation,pains,fetopelvic dispropotion
dog,rottweiler,6.6,40.8,dental issues,sneezing,experiencing changes in weight,weakness,weight loss,anorexia
dog,rottweiler,1.2,32.7,skin conditions history,weight loss,vomiting,coughing,pain,pain
dog,rottweiler,1.5,33.2,previous heart condition,loss of appetite,diarrhea,ruffled feathers,weight loss,inability to absorb nutrients
dog,mixed breed,0.8,14.9,recent surgery,fever,reduce growth,kid moratality,weakness,dullness
dog,labrador retriever,10.8,33.6,dental issues,sneezing,vomiting,diarrhea,unilateral nasal discharge,weight loss
dog,bulldog,9.8,23.3,parasite history,fever,diarrhea,abdominal pain,stiffness,severe weekness and depression
dog,beagle,5.7,27.1,recent surgery,strong cough,runny nose,darkened skin,lethargy,loss of appettite
dog,mixed breed,10.6,10.4,chronic illness,rhinitis,pneumonia,abscessess,torticollis,septicemia
dog,bulldog,2.8,14.4,allergies,watery diarrhea dispropotion,sick,corneal ulceration,loss of appetite,death
dog,beagle,8.6,24.2,vaccinated,fever,scratches,diarrhea,weight loss,depression
dog,mixed breed,7.8,35.8,previous heart condition,vomiting,anorexia,lethargy,fever,coughing
dog,boxer,9.0,24.0,previous kidney disease,loss of eye,wattles,weakness,vomiting,vomiting
dog,labrador retriever,13.6,44.4,not vaccinated,gasping,coughing,mild weakness,droopy wings,twisted neck
dog,rottweiler,5.9,36.1,recent surgery,sneezing,pain,rapid heartbeats,fever,uncharacteristic hiding
dog,rottweiler,11.7,25.9,parasite history,coughing,vomiting,weakness,discharge,fever
dog,labrador retriever,8.7,34.1,parasite history,sneezing,vomiting,fever,diarrhea,anorexia
dog,labrador retriever,13.5,30.8,no previous conditions,coughing,sneezing,vomiting,weakness,lethargy
dog,labrador retriever,10.1,37.1,no previous conditions,vomitting,fever,anorexia,fever,diarrhea
dog,golden retriever,7.9,41.3,previous kidney disease,vomiting,sneezing,vomiting,undernutrition,fever
dog,mixed breed,9.3,38.7,vaccinated,vomiting,pain,excessive eye watering,fever,nostrils
dog,poodle,8.1,3.5,parasite history,red skin,loss of appetite,moist,lameness,pains
dog,mixed breed,13.6,25.2,chronic illness,fever,uncharacteristic hiding,depression,dehydration,stopped eat
dog,german shepherd,5.1,39.1,previous kidney disease,swelling,heat,flank,pain,nasal discharge
dog,poodle,11.1,6.8,not vaccinated,fever,fever,dull,sneezing,vomiting
dog,german shepherd,14.8,25.7,dental issues,foul smelling,diarrhea,colic,bloody discharge,blood clots
dog,yorkshire terrier,7.1,5.3,no previous conditions,sneezing,weakness,fever,anorexia,fever
dog,rottweiler,9.7,39.7,vaccinated,inability to stand,diarrhea,bottle jaw,pot belly,dry hair coat
dog,yorkshire terrier,10.4,4.9,no previous conditions,fever,weakness,morbidity,anorexia,diarrhea
dog,golden retriever,9.7,37.7,chronic illness,restlessness,kick,lethargy,nible at their wool,scratching
dog,boxer,11.7,28.5,not vaccinated,immediate death,difficulty in breathing,blue colored lip,bloody discharge,neurologic abnormalities
dog,beagle,3.0,15.8,vaccinated,allergic reaction,poor appetite,coughing,weight loss,distended chest
dog,mixed breed,12.8,31.9,previous heart condition,swelling on thebody,lllthrift,weight loss,skin lesion,lameness
dog,golden retriever,13.1,33.0,skin conditions history,death,uteria inertia,fetopelvic dispropotion,fast breathing,pains
dog,boxer,9.3,15.0,previous kidney disease,coughing,weight loss,weakness,fever,sluggish
dog,golden retriever,4.6,32.1,skin conditions history,coughing,anorexia,weight loss,deability,diarrhea
dog,labrador retriever,14.6,44.1,previous heart condition,gasping,coughing,mild weakness,droopy wings,twisted neck
dog,labrador retriever,6.7,40.9,parasite history,pain,fever,anorexia,vomiting,dullness
dog,beagle,7.2,15.0,dental issues,weakness,weakness,weight loss,vomiting,fever
dog,rottweiler,12.1,26.1,chronic illness,reduce reproductive potential,loss of milk production,sloughing of the tail,fever,agalactia
dog,bulldog,9.2,15.4,vaccinated,fever,difficulty breathing,coughing,lethargy,sneezing
dog,german shepherd,4.9,31.7,not vaccinated,lethargy,weight loss,vomiting,sneezing,diarrhea
dog,yorkshire terrier,1.0,10.0,previous heart condition,swelling on leg,painfull,poor appetite,broken bones,nasal discharge
dog,bulldog,3.1,18.8,allergies,fever,loss of  appetite,lession on the skin,lethargy,joint pain
dog,mixed breed,0.9,8.9,allergies,fever,difficulty in breathing,lethargy,death,pains
dog,labrador retriever,1.1,32.8,skin conditions history,swelling of internal organs,fatigue,abortion at the end of gestation,join pains,weak calves
dog,beagle,4.9,23.1,skin conditions history,anorexia,pain,vomiting,coughing,weakness
dog,beagle,6.7,28.9,recent surgery,runny nose,darkened skin,lethargy,strong cough,loss of appettite
dog,poodle,8.3,4.0,no previous conditions,fever,pain,emaciation,berberi,pain
dog,labrador retriever,1.5,32.5,recent surgery,stand with head droping,pain,weakness,weakness,blooody fluid
dog,mixed breed,9.2,27.7,not vaccinated,most often none,sneezing,nasal discharge,dyspnea,pain
dog,rottweiler,8.1,28.6,recent surgery,tear production,anversion to light,bluish white opacity,blindness,pains
dog,mixed breed,5.5,38.9,dental issues,scartch,high moratality,coughing,anorexia,sneezing
dog,mixed breed,10.9,22.5,chronic illness,weight loss,coughing,vomiting,vomiting,weakness
dog,mixed breed,11.8,9.8,recent surgery,fever,diarrhea,poor appetite,weight loss,vomitting
dog,mixed breed,7.9,29.6,previous kidney disease,lethargy,anorexia,weakness,pain,weakness
dog,german shepherd,15.0,39.1,skin conditions history,coughing,sneezing,weakness,coughing,sick
dog,yorkshire terrier,12.2,8.8,skin conditions history,uteria inertia,pains,fetopelvic dispropotion,death,malpresentation
dog,yorkshire terrier,5.5,4.8,no previous conditions,diarrhea,polydipsa,undernutrition,weakness,incoordination
dog,german shepherd,12.9,23.4,parasite history,fever,dyspnea,coughing,weakness,anorexia
dog,poodle,9.3,5.8,allergies,weight loss,eye ulcer,anorexia,lethargy,coughing
dog,german shepherd,8.1,30.8,no previous conditions,eventually death,coughing,weight loss,vomiting,lethargy
dog,bulldog,9.8,17.8,chronic illness,egg production decreases,stunted growth,blindness,distinctive bumps,facial swelling
dog,mixed breed,15.0,29.5,allergies,lethargy,sneezing,lesions in the nasal cavity,coughing,anorexia
dog,labrador retriever,4.4,31.9,allergies,pain,pain,weight loss,weakness,anorexia
dog,golden retriever,5.5,45.0,not vaccinated,anorexia,coughing,lethargy,fever,dyspnea
dog,yorkshire terrier,1.1,9.5,previous heart condition,nasal discharge,poor appetite,swelling on leg,broken bones,painfull
dog,bulldog,14.9,29.1,recent surgery,lesion,pain,sores on lower leg and teats,sores on lip,infection
dog,yorkshire terrier,2.5,7.6,dental issues,fever,dysentery,swelling,immediate death,pain
